,winner,winner_url,looser,looser_url,outcome
37,Seokhyeon Ko,http://www.ufcstats.com/fighter-details/4a07b1988477502c,Phil Rowe,http://www.ufcstats.com/fighter-details/8e382b585a92affe,1.0
38,Ariane Carnelossi,http://www.ufcstats.com/fighter-details/c0d5c0c95c59050b,Talita Alencar,http://www.ufcstats.com/fighter-details/d35298b6df168456,0.0
39,Tom Aspinall,http://www.ufcstats.com/fighter-details/399afbabc02376b5,Ciryl Gane,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a,1.0
40,Mackenzie Dern,http://www.ufcstats.com/fighter-details/7447e9f28508106a,Virna Jandiroba,http://www.ufcstats.com/fighter-details/7dda2cf308f24a02,1.0
41,Umar Nurmagomedov,http://www.ufcstats.com/fighter-details/2b6fc1c02736833d,Mario Bautista,http://www.ufcstats.com/fighter-details/bc711b6dd95c1af6,1.0
42,Alexander Volkov,http://www.ufcstats.com/fighter-details/279566840aa55bf2,Jailton Almeida,http://www.ufcstats.com/fighter-details/41e83a89929d1327,1.0
43,Azamat Murzakanov,http://www.ufcstats.com/fighter-details/e90a2f22417af68e,Aleksandar Rakic,http://www.ufcstats.com/fighter-details/333b9e5c723ac873,1.0
44,Quillan Salkilld,http://www.ufcstats.com/fighter-details/17734443a833cdf7,Nasrat Haqparast,http://www.ufcstats.com/fighter-details/b7b84ccd221be298,1.0
45,JunYong Park,http://www.ufcstats.com/fighter-details/285ae0b4a68221f4,Ikram Aliskerov,http://www.ufcstats.com/fighter-details/b07aed698fba8624,0.0
46,Ludovit Klein,http://www.ufcstats.com/fighter-details/5b86d491d63890c5,Mateusz Rebecki,http://www.ufcstats.com/fighter-details/849c5d9979df5357,1.0
47,Valter Walker,http://www.ufcstats.com/fighter-details/f5779a2303ed76ec,Louie Sutherland,http://www.ufcstats.com/fighter-details/cdb7b38b1b357f26,1.0
