winner,looser,height_1,weight_1,reach_1,stance_1,dob_1,slpm_1,stracc_1,sapm_1,strdef_1,tdavg_1,tdacc_1,tddef_1,subavg_1,height_2,weight_2,reach_2,stance_2,dob_2,slpm_2,stracc_2,sapm_2,strdef_2,tdavg_2,tdacc_2,tddef_2,subavg_2,fight_date,cur_streak_1,max_streak_1,cur_streak_2,max_streak_2,outcome
Gilbert Burns,Kamaru Usman,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",3.15,48%,3.64,52%,2.12,37%,53%,0.5,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",4.16,51%,2.67,55%,2.79,44%,89%,0.1,2021.0,0.0,6.0,0.0,15.0,0.0
Alexa Grasso,Maycee Barber,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993",4.11,41%,3.73,58%,0.41,35%,54%,0.6,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",4.7,53%,2.9,54%,1.44,43%,53%,0.1,2021.0,0.0,5.0,5.0,5.0,1.0
Kelvin Gastelum,Ian Heinisch,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",3.67,42%,3.53,57%,1.01,34%,60%,0.1,"5' 11""",185 lbs.,"72""",Orthodox,"Aug 05, 1988",3.25,50%,2.98,59%,1.02,17%,59%,0.7,2021.0,0.0,5.0,0.0,3.0,1.0
Brian Kelleher,Ricky Simon,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",3.31,41%,4.59,54%,1.68,41%,60%,0.7,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.04,43%,3.85,61%,4.66,41%,76%,0.3,2021.0,0.0,2.0,2.0,5.0,0.0
Maki Pitolo,Julian Marquez,"5' 10""",185 lbs.,"75""",Orthodox,"Nov 24, 1990",4.1,44%,3.93,55%,2.24,52%,50%,0.8,"6' 2""",185 lbs.,"72""",Orthodox,"May 08, 1990",5.06,45%,5.35,50%,0.0,0%,54%,2.6,2021.0,0.0,1.0,0.0,2.0,0.0
Rodolfo Vieira,Anthony Hernandez,"6' 0""",185 lbs.,"73""",Orthodox,"Sep 25, 1989",3.55,53%,4.38,49%,2.7,21%,75%,0.9,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",4.59,62%,2.53,49%,6.46,48%,68%,1.8,2021.0,1.0,2.0,7.0,7.0,0.0
Dhiego Lima,Belal Muhammad,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989",3.12,39%,3.88,58%,1.26,34%,73%,0.6,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.46,43%,3.78,55%,2.24,38%,90%,0.1,2021.0,0.0,3.0,6.0,6.0,0.0
Polyana Viana,Mallory Martin,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 14, 1992",2.74,40%,2.5,53%,0.75,33%,35%,1.7,"5' 4""",115 lbs.,"63""",Orthodox,"Jan 29, 1994",4.42,48%,6.64,55%,2.28,43%,25%,0.3,2021.0,0.0,2.0,0.0,1.0,1.0
Andre Ewell,Chris Gutierrez,"5' 8""",145 lbs.,"75""",Southpaw,"Jan 21, 1988",4.28,40%,4.87,51%,0.36,75%,72%,0.1,"5' 9""",135 lbs.,"67""",Orthodox,"Apr 22, 1991",4.4,57%,2.65,63%,0.3,30%,67%,0.1,2021.0,0.0,2.0,2.0,4.0,0.0
Phil Rowe,Gabe Green,"6' 3""",170 lbs.,"80""",Orthodox,"Jul 18, 1990",3.5,50%,4.12,51%,0.52,36%,50%,0.3,"5' 10""",155 lbs.,"73""",Switch,"May 02, 1993",5.6,45%,6.19,47%,0.71,50%,50%,0.5,2021.0,1.0,3.0,0.0,2.0,0.0
Alexander Volkov,Alistair Overeem,"6' 7""",261 lbs.,"80""",Orthodox,"Oct 24, 1988",4.78,57%,2.86,53%,0.57,66%,68%,0.2,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",3.67,64%,2.44,57%,1.42,55%,73%,0.8,2021.0,0.0,4.0,2.0,8.0,1.0
Cory Sandhagen,Frankie Edgar,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",4.86,45%,3.47,56%,1.15,34%,56%,0.2,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.77,40%,2.82,65%,2.29,31%,65%,0.3,2021.0,1.0,5.0,0.0,5.0,1.0
Michael Johnson,Clay Guida,"5' 10""",155 lbs.,"73""",Southpaw,"Jun 04, 1986",4.28,39%,3.79,58%,0.58,38%,81%,0.0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.63,33%,3.0,61%,3.1,35%,66%,0.6,2021.0,2.0,4.0,0.0,4.0,0.0
Manel Kape,Alexandre Pantoja,"5' 5""",125 lbs.,"68""",Southpaw,"Nov 14, 1993",5.04,55%,4.05,57%,0.42,30%,81%,0.3,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.36,50%,3.88,49%,2.8,47%,69%,1.0,2021.0,1.0,4.0,7.0,7.0,0.0
Diego Ferreira,Beneil Dariush,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",4.7,39%,3.46,55%,0.82,30%,57%,0.6,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.78,49%,2.62,57%,2.11,38%,82%,0.8,2021.0,0.0,6.0,1.0,8.0,0.0
Danilo Marques,Mike Rodriguez,"6' 6""",205 lbs.,"77""",Orthodox,"Dec 26, 1985",1.44,79%,2.52,52%,3.93,28%,0%,0.8,"6' 4""",205 lbs.,"82""",Southpaw,"Nov 28, 1988",4.35,53%,4.24,41%,0.0,0%,37%,0.0,2021.0,0.0,2.0,0.0,1.0,1.0
Justin Jaynes,Devonte Smith,"5' 7""",145 lbs.,"68""",Orthodox,"Aug 10, 1989",3.34,44%,5.33,62%,0.75,40%,20%,1.1,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",4.55,53%,3.91,49%,0.35,25%,85%,0.3,2021.0,0.0,1.0,0.0,3.0,0.0
Karol Rosa,Joselyne Edwards,"5' 5""",135 lbs.,"67""",Orthodox,"Dec 30, 1994",5.88,56%,4.59,49%,1.17,48%,70%,0.2,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995",4.73,53%,3.28,50%,1.29,38%,61%,0.5,2021.0,0.0,4.0,2.0,3.0,1.0
Lara Procopio,Molly McCann,"5' 4""",125 lbs.,"67""",Orthodox,"Nov 14, 1995",5.64,58%,6.5,47%,3.15,47%,50%,0.3,"5' 4""",115 lbs.,"62""",Orthodox,"May 04, 1990",5.28,49%,4.65,62%,1.78,36%,38%,0.5,2021.0,1.0,1.0,0.0,3.0,1.0
Youssef Zalal,SeungWoo Choi,"5' 10""",145 lbs.,"72""",Switch,"Sep 04, 1996",3.03,50%,1.78,66%,2.17,31%,59%,1.4,"6' 0""",145 lbs.,"74""",Orthodox,"Nov 03, 1992",3.56,38%,3.16,47%,0.83,54%,70%,0.0,2021.0,4.0,4.0,0.0,3.0,0.0
Martin Day,Timur Valiev,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988",3.97,45%,3.79,53%,0.72,60%,65%,0.5,"5' 6""",135 lbs.,"67""",Orthodox,"Jan 19, 1990",5.19,53%,3.33,45%,1.73,40%,55%,0.3,2021.0,0.0,0.0,2.0,2.0,0.0
Jerome Rivera,Ode Osbourne,"5' 10""",125 lbs.,"72""",Southpaw,"Apr 22, 1995",3.21,33%,2.6,51%,0.0,0%,40%,0.0,"5' 7""",125 lbs.,"73""",Southpaw,"Jan 09, 1992",3.07,41%,3.43,47%,1.09,30%,66%,0.5,2021.0,0.0,1.0,1.0,2.0,0.0
Conor McGregor,Dustin Poirier,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",5.32,49%,4.66,54%,0.67,55%,66%,0.1,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",5.24,50%,4.57,52%,1.15,35%,64%,1.2,2021.0,0.0,7.0,0.0,5.0,0.0
Dan Hooker,Michael Chandler,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",5.03,48%,4.72,51%,0.73,34%,78%,0.3,"5' 8""",155 lbs.,"71""",Orthodox,"Apr 24, 1986",4.04,49%,4.52,43%,1.96,41%,61%,0.6,2021.0,2.0,4.0,0.0,3.0,0.0
Joanne Wood,Jessica Eye,"5' 6""",125 lbs.,"65""",Orthodox,"Dec 23, 1985",7.1,51%,4.89,51%,1.52,55%,58%,0.3,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.86,37%,4.19,55%,0.58,40%,57%,0.5,2021.0,1.0,2.0,0.0,3.0,1.0
Andrew Sanchez,Makhmud Muradov,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988",4.3,43%,5.1,50%,2.55,36%,100%,0.0,"6' 2""",185 lbs.,"75""",Orthodox,"Feb 08, 1990",4.21,43%,2.57,61%,3.03,66%,77%,0.2,2021.0,0.0,2.0,1.0,3.0,0.0
Marina Rodriguez,Amanda Ribas,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",4.51,46%,3.01,55%,0.27,50%,61%,0.3,"5' 4""",115 lbs.,"66""",Orthodox,"Aug 26, 1993",4.26,39%,3.29,60%,2.05,52%,82%,0.6,2021.0,0.0,4.0,0.0,4.0,1.0
Matt Frevola,Arman Tsarukyan,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",3.3,39%,3.76,56%,2.34,41%,40%,0.8,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",3.79,48%,1.84,53%,3.25,37%,75%,0.0,2021.0,0.0,3.0,3.0,5.0,0.0
Brad Tavares,Antonio Carlos Junior,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",3.42,43%,3.36,54%,0.73,26%,81%,0.0,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",1.95,42%,2.14,52%,3.42,39%,53%,0.8,2021.0,1.0,5.0,0.0,5.0,1.0
Julianna Pena,Sara McMann,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 19, 1989",3.1,44%,2.56,57%,1.7,54%,24%,0.8,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980",2.26,46%,1.92,47%,4.38,65%,50%,0.5,2021.0,1.0,4.0,0.0,5.0,1.0
Marcin Prachnio,Khalil Rountree Jr.,"6' 3""",205 lbs.,"73""",Orthodox,"Jul 14, 1988",5.52,54%,3.15,54%,0.14,20%,53%,0.0,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",3.88,40%,4.33,49%,0.0,0%,58%,0.1,2021.0,0.0,2.0,1.0,5.0,1.0
Movsar Evloev,Nik Lentz,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994",3.99,48%,2.66,60%,4.67,48%,61%,0.2,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984",3.44,47%,3.25,50%,3.3,32%,43%,1.2,2021.0,8.0,8.0,0.0,4.0,1.0
Zhalgas Zhumagulov,Amir Albazi,"5' 4""",125 lbs.,"66""",Switch,"Aug 29, 1988",5.24,43%,5.86,52%,1.3,19%,75%,0.2,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.72,34%,3.71,61%,1.39,32%,50%,0.5,2021.0,0.0,1.0,5.0,5.0,0.0
Neil Magny,Michael Chiesa,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.41,46%,2.44,51%,2.18,39%,55%,0.3,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",2.03,40%,1.73,57%,3.05,47%,67%,1.0,2021.0,1.0,7.0,2.0,4.0,0.0
Mounir Lazzez,Warlley Alves,"6' 1""",170 lbs.,"76""",Orthodox,"Nov 16, 1987",7.49,55%,5.42,53%,1.8,57%,71%,0.0,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48%,3.95,50%,1.22,50%,62%,0.8,2021.0,1.0,1.0,0.0,4.0,0.0
Vinicius Moreira,Ike Villanueva,"6' 4""",205 lbs.,"76""",Orthodox,"Feb 28, 1989",3.15,59%,5.07,43%,1.97,18%,0%,1.3,"6' 1""",205 lbs.,"73""",Orthodox,"Apr 04, 1984",3.66,38%,7.24,36%,0.6,50%,100%,0.0,2021.0,0.0,1.0,0.0,1.0,0.0
Viviane Araujo,Roxanne Modafferi,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",3.84,47%,4.83,55%,1.72,43%,75%,0.6,"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",3.35,30%,5.7,51%,1.35,23%,30%,0.1,2021.0,1.0,2.0,0.0,1.0,1.0
Tyson Nam,Matt Schnell,"5' 7""",125 lbs.,"68""",Orthodox,"Oct 06, 1983",3.87,33%,4.97,65%,0.0,0%,87%,0.0,"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990",4.07,40%,4.11,55%,0.6,45%,43%,1.2,2021.0,0.0,2.0,1.0,4.0,0.0
Douglas Silva de Andrade,Lerone Murphy,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 22, 1985",3.54,38%,3.93,57%,0.55,42%,72%,0.2,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991",4.48,53%,2.51,61%,1.41,54%,51%,0.5,2021.0,1.0,2.0,8.0,8.0,0.0
Tom Breese,Omari Akhmedov,"6' 3""",185 lbs.,"73""",Southpaw,"Sep 26, 1991",3.34,50%,2.81,60%,0.0,0%,70%,1.1,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2,2021.0,1.0,3.0,1.0,3.0,0.0
Ricky Simon,Gaetano Pirrello,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.04,43%,3.85,61%,4.66,41%,76%,0.3,"5' 7""",135 lbs.,"65""",Orthodox,"Apr 29, 1992",0.99,55%,2.44,42%,0.0,0%,30%,0.0,2021.0,2.0,5.0,0.0,0.0,1.0
Sumudaerji,Zarrukh Adashev,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",4.48,52%,2.39,60%,0.16,11%,71%,0.6,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40%,3.04,64%,0.0,0%,100%,0.5,2021.0,1.0,3.0,1.0,1.0,1.0
Markus Perez,Dalcha Lungiambula,"6' 1""",185 lbs.,"73""",Orthodox,"Jun 22, 1988",2.6,47%,3.72,52%,0.81,25%,77%,1.0,"5' 8""",185 lbs.,"76""",Orthodox,"Jul 31, 1987",3.07,45%,3.93,52%,2.14,45%,77%,0.0,2021.0,0.0,1.0,0.0,1.0,0.0
Francisco Figueiredo,Jerome Rivera,"5' 6""",125 lbs.,"68""",Southpaw,"Oct 23, 1989",2.04,61%,2.59,61%,2.51,75%,76%,0.4,"5' 10""",125 lbs.,"72""",Southpaw,"Apr 22, 1995",3.21,33%,2.6,51%,0.0,0%,40%,0.0,2021.0,1.0,1.0,0.0,1.0,1.0
Mason Jones,Mike Davis,"5' 10""",155 lbs.,"74""",Orthodox,"Apr 26, 1995",5.71,41%,4.47,50%,4.17,55%,81%,0.2,"6' 0""",155 lbs.,"72""",Orthodox,"Oct 07, 1992",4.73,53%,5.23,54%,2.4,44%,60%,0.8,2021.0,1.0,1.0,0.0,4.0,0.0
Umar Nurmagomedov,Sergey Morozov,"5' 8""",135 lbs.,"69""",Orthodox,"Jan 03, 1996",4.08,57%,2.04,60%,4.3,47%,79%,0.3,"5' 6""",135 lbs.,"67""",Orthodox,"Jun 14, 1989",3.01,43%,2.97,61%,3.63,31%,68%,0.0,2021.0,0.0,6.0,1.0,1.0,1.0
Manon Fiorot,Victoria Leonardo,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990",5.66,42%,3.58,66%,1.05,29%,87%,0.0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 16, 1990",3.22,38%,4.81,47%,1.57,27%,71%,0.0,2021.0,0.0,7.0,0.0,1.0,1.0
Calvin Kattar,Max Holloway,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",4.41,37%,6.55,54%,0.34,29%,77%,0.1,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",7.2,48%,4.74,59%,0.24,53%,83%,0.3,2021.0,0.0,2.0,0.0,13.0,0.0
Carlos Condit,Matt Brown,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",3.66,39%,2.67,55%,0.59,46%,38%,1.0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",3.76,55%,2.92,55%,1.68,46%,63%,1.3,2021.0,2.0,5.0,0.0,7.0,1.0
Santiago Ponzinibbio,Li Jingliang,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986",4.78,41%,4.68,61%,0.6,27%,71%,0.0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",4.46,42%,3.95,56%,1.19,41%,60%,0.0,2021.0,1.0,7.0,0.0,4.0,0.0
Joaquin Buckley,Alessio Di Chirico,"5' 10""",170 lbs.,"76""",Southpaw,"Apr 27, 1994",3.88,36%,2.93,59%,1.54,45%,72%,0.1,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.32,39%,3.44,61%,1.46,39%,83%,0.0,2021.0,6.0,6.0,0.0,2.0,0.0
Dusko Todorovic,Punahele Soriano,"6' 1""",185 lbs.,"74""",Orthodox,"May 19, 1994",4.73,57%,4.4,48%,1.77,21%,42%,0.3,"5' 11""",170 lbs.,"72""",Southpaw,"Nov 22, 1992",4.66,54%,3.42,47%,1.83,48%,40%,0.1,2021.0,0.0,2.0,2.0,3.0,0.0
Joselyne Edwards,Wu Yanan,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995",4.73,53%,3.28,50%,1.29,38%,61%,0.5,"5' 8""",135 lbs.,"66""",Orthodox,"Apr 18, 1996",4.23,41%,4.95,49%,0.62,30%,63%,0.2,2021.0,2.0,3.0,0.0,1.0,1.0
Carlos Felipe,Justin Tafa,"6' 0""",245 lbs.,"75""",Orthodox,"Jan 12, 1995",4.88,45%,5.6,50%,0.0,0%,72%,0.0,"6' 0""",264 lbs.,"74""",Southpaw,"Dec 13, 1993",4.05,54%,5.11,47%,0.0,0%,53%,0.0,2021.0,3.0,3.0,0.0,2.0,1.0
David Zawada,Ramazan Emeev,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990",3.84,41%,4.54,55%,0.97,33%,57%,1.7,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.53,45%,2.14,65%,2.37,29%,66%,0.7,2021.0,0.0,1.0,0.0,3.0,0.0
Vanessa Melo,Sarah Moras,"5' 5""",135 lbs.,"65""",Orthodox,"Mar 27, 1988",3.48,30%,6.13,59%,0.0,0%,71%,0.0,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.28,34%,3.58,50%,0.67,21%,33%,0.8,2021.0,0.0,0.0,0.0,1.0,1.0
Austin Lingo,Jacob Kilburn,"5' 10""",145 lbs.,"70""",Orthodox,"Jul 10, 1994",3.86,37%,4.86,57%,0.43,66%,75%,0.0,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 28, 1995",2.56,33%,6.78,35%,0.51,5%,20%,0.5,2021.0,0.0,2.0,0.0,0.0,1.0
Geoff Neal,Stephen Thompson,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990",5.05,51%,5.48,57%,0.54,45%,87%,0.1,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",4.05,46%,3.0,54%,0.23,35%,63%,0.0,2021.0,1.0,6.0,0.0,7.0,0.0
Jose Aldo,Marlon Vera,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.65,46%,3.81,60%,0.47,51%,92%,0.1,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",4.25,48%,5.37,49%,0.49,39%,72%,0.8,2021.0,0.0,15.0,0.0,5.0,1.0
Khaos Williams,Michel Pereira,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994",4.94,39%,5.39,40%,0.0,0%,51%,0.0,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 06, 1993",4.49,52%,4.35,51%,1.13,52%,76%,0.7,2021.0,0.0,2.0,0.0,8.0,0.0
Rob Font,Marlon Moraes,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.36,45%,3.7,57%,0.74,30%,43%,0.3,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.37,40%,4.53,54%,0.87,41%,46%,0.3,2021.0,2.0,4.0,0.0,4.0,1.0
Marcin Tybura,Greg Hardy,"6' 3""",246 lbs.,"78""",Orthodox,"Nov 09, 1985",3.59,48%,3.33,55%,1.38,33%,75%,0.1,"6' 5""",265 lbs.,"80""",Orthodox,"Jul 28, 1988",4.79,50%,3.31,55%,0.2,33%,64%,0.0,2021.0,2.0,5.0,0.0,2.0,1.0
Anthony Pettis,Alex Morono,"5' 10""",155 lbs.,"72""",Orthodox,"Jan 27, 1987",3.05,47%,3.44,54%,0.61,50%,60%,1.1,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",5.03,40%,4.78,56%,0.33,24%,47%,0.3,2021.0,1.0,5.0,0.0,4.0,1.0
Pannie Kianzad,Sijara Eubanks,"5' 7""",135 lbs.,"66""",Orthodox,"Dec 08, 1991",4.88,49%,4.09,51%,0.41,33%,65%,0.1,"5' 4""",125 lbs.,"67""",Orthodox,"Apr 27, 1985",4.3,43%,3.43,57%,1.9,44%,66%,0.3,2021.0,0.0,4.0,1.0,2.0,1.0
Deron Winn,Antonio Arroyo,"5' 6""",185 lbs.,"70""",Orthodox,"Jun 13, 1989",4.55,44%,6.21,46%,4.28,52%,40%,0.0,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",2.82,66%,2.02,50%,1.14,41%,41%,0.2,2021.0,1.0,1.0,0.0,2.0,1.0
Gillian Robertson,Taila Santos,"5' 5""",115 lbs.,"63""",Orthodox,"May 17, 1995",2.86,48%,2.86,56%,2.74,40%,41%,0.9,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 22, 1993",3.39,48%,2.64,58%,2.0,76%,86%,1.1,2021.0,3.0,3.0,0.0,4.0,0.0
Jamie Pickett,Tafon Nchukwi,"6' 2""",185 lbs.,"80""",Orthodox,"Aug 29, 1988",2.65,47%,3.62,50%,1.26,40%,67%,0.1,"6' 0""",185 lbs.,"77""",Orthodox,"Oct 14, 1994",5.57,52%,4.11,54%,0.76,57%,64%,0.0,2021.0,0.0,2.0,0.0,2.0,0.0
Jimmy Flick,Cody Durden,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",1.67,50%,4.7,43%,2.36,33%,0%,3.5,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.66,44%,4.47,50%,3.99,47%,75%,0.7,2021.0,0.0,2.0,0.0,4.0,1.0
Christos Giagos,Carlton Minus,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",3.03,41%,3.21,50%,2.84,36%,52%,0.4,"5' 10""",170 lbs.,"75""",Orthodox,"Apr 26, 1993",3.5,40%,4.97,50%,0.0,0%,58%,0.0,2021.0,0.0,2.0,0.0,0.0,1.0
Brandon Moreno,Deiveson Figueiredo,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",3.96,44%,3.62,60%,1.51,44%,64%,0.4,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987",2.75,54%,3.54,49%,1.71,35%,57%,1.3,2021.0,1.0,3.0,0.0,5.0,0.0
Tony Ferguson,Charles Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 12, 1984",4.91,45%,4.37,55%,0.39,35%,66%,0.9,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",3.35,54%,3.24,49%,2.22,40%,54%,2.6,2021.0,0.0,12.0,0.0,11.0,0.0
Mackenzie Dern,Virna Jandiroba,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.47,41%,3.93,51%,0.93,18%,37%,1.1,"5' 3""",115 lbs.,"64""",Orthodox,"May 30, 1988",2.33,41%,2.9,55%,2.85,37%,74%,1.5,2020.0,2.0,4.0,5.0,5.0,1.0
Kevin Holland,Jacare Souza,"6' 3""",170 lbs.,"81""",Orthodox,"Nov 05, 1992",4.26,49%,3.22,50%,0.83,39%,56%,0.5,"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",2.53,47%,2.83,62%,2.57,39%,57%,1.3,2020.0,0.0,5.0,0.0,8.0,1.0
Junior Dos Santos,Ciryl Gane,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.3,50%,81%,0.1,"6' 4""",247 lbs.,"81""",Orthodox,"Apr 12, 1990",5.29,61%,2.33,60%,0.68,25%,47%,0.6,2020.0,0.0,9.0,2.0,7.0,0.0
Cub Swanson,Daniel Pineda,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983",4.79,51%,4.0,59%,1.01,50%,63%,0.4,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",2.85,49%,3.26,45%,1.42,24%,54%,1.5,2020.0,0.0,6.0,0.0,2.0,1.0
Rafael Fiziev,Renato Moicano,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993",4.77,52%,4.77,50%,0.89,72%,90%,0.0,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",4.17,48%,3.57,59%,1.67,41%,62%,0.5,2020.0,0.0,6.0,0.0,4.0,1.0
Billy Quarantillo,Gavin Tucker,"5' 10""",145 lbs.,"70""",Orthodox,"Dec 08, 1988",7.44,54%,5.83,42%,1.47,24%,61%,1.0,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986",4.29,44%,4.18,57%,3.13,44%,53%,1.5,2020.0,0.0,4.0,0.0,3.0,0.0
Sam Hughes,Tecia Pennington,"5' 5""",115 lbs.,"64""",Orthodox,"Jun 28, 1992",4.34,46%,4.44,58%,1.23,35%,60%,0.2,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.73,48%,3.48,61%,0.56,14%,62%,0.1,2020.0,2.0,2.0,2.0,3.0,0.0
Chase Hooper,Peter Barrett,"6' 1""",155 lbs.,"74""",Southpaw,"Sep 13, 1999",4.51,49%,2.98,39%,2.49,33%,55%,2.1,"5' 10""",145 lbs.,"73""",Southpaw,"Aug 10, 1986",4.18,61%,4.32,42%,1.39,22%,66%,0.0,2020.0,5.0,5.0,0.0,1.0,1.0
Jack Hermansson,Marvin Vettori,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 10, 1988",5.13,45%,3.7,57%,1.5,29%,80%,0.4,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",4.68,45%,4.52,56%,1.43,45%,65%,0.4,2020.0,1.0,4.0,0.0,5.0,0.0
Jamahal Hill,Ovince Saint Preux,"6' 4""",205 lbs.,"79""",Southpaw,"May 19, 1991",6.19,51%,4.03,44%,0.0,0%,73%,0.0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983",3.03,47%,3.33,47%,1.09,36%,67%,0.5,2020.0,0.0,4.0,1.0,5.0,1.0
Justin Jaynes,Gabriel Benitez,"5' 7""",145 lbs.,"68""",Orthodox,"Aug 10, 1989",3.34,44%,5.33,62%,0.75,40%,20%,1.1,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",5.26,41%,4.49,63%,0.22,50%,55%,0.9,2020.0,0.0,1.0,0.0,2.0,0.0
