winner,looser,height_1,weight_1,reach_1,stance_1,dob_1,slpm_1,stracc_1,sapm_1,strdef_1,tdavg_1,tdacc_1,tddef_1,subavg_1,height_2,weight_2,reach_2,stance_2,dob_2,slpm_2,stracc_2,sapm_2,strdef_2,tdavg_2,tdacc_2,tddef_2,subavg_2,fight_date,cur_streak_1,max_streak_1,cur_streak_2,max_streak_2,outcome
Chris Padilla,Ismael Bonfim,"5' 9""",155 lbs.,"74""",Orthodox,"Sep 14, 1995",4.78,54%,3.87,55%,1.18,30%,75%,0.4,"5' 8""",155 lbs.,"71""",Orthodox,"Dec 28, 1995",5.51,54%,3.71,65%,1.06,33%,76%,0.0,2025.0,3.0,3.0,0.0,2.0,1.0
Christian Leroy Duncan,Marco Tulio,"6' 2""",185 lbs.,"79""",Switch,"Jul 24, 1995",4.6,58%,2.97,51%,0.4,20%,69%,0.0,"6' 0""",185 lbs.,"74""",Orthodox,"Jun 13, 1994",6.69,58%,2.58,59%,1.42,26%,0%,0.3,2025.0,2.0,2.0,4.0,4.0,1.0
Jamall Emmers,Hyder Amil,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",5.1,49%,3.92,57%,2.59,53%,81%,0.3,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",5.81,52%,3.95,51%,0.56,18%,65%,0.8,2025.0,1.0,1.0,0.0,4.0,1.0
Raoni Barcelos,Ricky Simon,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",4.92,51%,4.4,61%,2.22,31%,87%,0.6,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.04,43%,3.85,61%,4.66,41%,76%,0.3,2025.0,3.0,5.0,2.0,5.0,1.0
Mayra Bueno Silva,Jacqueline Cavalcanti,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 22, 1991",3.71,56%,4.9,51%,0.51,23%,63%,1.3,"5' 8""",135 lbs.,"70""",Orthodox,"Aug 29, 1997",5.65,46%,3.17,68%,0.0,0%,88%,0.0,2025.0,0.0,3.0,4.0,4.0,0.0
Max Gimenis,Josh Hokit,"6' 2""",256 lbs.,"75""",Orthodox,"Apr 14, 1993",3.21,42%,9.64,47%,0.0,0%,0%,0.0,"6' 1""",236 lbs.,"73""",Orthodox,"Nov 12, 1997",5.12,69%,1.42,56%,12.8,46%,0%,0.0,2025.0,0.0,0.0,1.0,1.0,0.0
Denise Gomes,Tecia Pennington,"5' 2""",115 lbs.,"63""",Orthodox,"Dec 30, 1999",4.43,49%,3.16,51%,1.45,34%,66%,0.7,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.73,48%,3.48,61%,0.56,14%,62%,0.1,2025.0,3.0,3.0,2.0,3.0,1.0
Miles Johns,Daniel Marcos,"5' 7""",135 lbs.,"68""",Orthodox,"Mar 30, 1994",3.36,44%,2.99,65%,1.22,26%,77%,0.0,"5' 7""",135 lbs.,"69""",Orthodox,"Mar 07, 1993",4.9,53%,3.79,61%,1.35,52%,85%,0.1,2025.0,0.0,2.0,0.0,3.0,0.0
Jackson McVey,Zach Reese,"6' 4""",185 lbs.,"77""",Southpaw,"Mar 25, 1999",5.87,68%,3.82,23%,0.0,0%,0%,0.0,"6' 4""",185 lbs.,"77""",Switch,"Mar 24, 1994",4.32,56%,3.82,39%,3.41,66%,57%,1.4,2025.0,0.0,0.0,0.0,2.0,0.0
Steve Garcia,David Onama,"6' 0""",145 lbs.,"75""",Southpaw,"May 22, 1992",5.39,49%,2.12,59%,0.86,40%,88%,0.4,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 07, 1994",5.07,50%,4.89,51%,1.05,30%,52%,0.5,2025.0,6.0,6.0,4.0,4.0,1.0
Ante Delija,Waldo Cortes Acosta,"6' 3""",239 lbs.,"78""",Orthodox,"Aug 07, 1990",4.81,45%,2.65,38%,0.0,0%,0%,0.0,"6' 4""",260 lbs.,"78""",Orthodox,"Oct 03, 1991",5.53,48%,3.52,55%,0.36,50%,72%,0.1,2025.0,1.0,1.0,0.0,5.0,0.0
Themba Gorimbo,Jeremiah Wells,"6' 1""",170 lbs.,"77""",Orthodox,"Jan 23, 1991",2.72,60%,1.32,51%,5.07,65%,72%,0.4,"5' 9""",170 lbs.,"74""",Switch,"Oct 30, 1986",2.35,46%,1.28,48%,3.06,46%,50%,1.3,2025.0,0.0,4.0,0.0,4.0,0.0
Isaac Dulgarian,Yadier del Valle,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 04, 1996",2.99,63%,1.65,40%,4.57,50%,0%,1.8,"5' 9""",145 lbs.,"69""",Southpaw,"Jul 29, 1996",6.25,67%,2.87,52%,2.08,42%,75%,3.5,2025.0,1.0,1.0,2.0,2.0,0.0
Charles Radtke,Daniel Frunza,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 09, 1990",2.8,54%,2.63,54%,1.32,30%,100%,0.7,"6' 1""",170 lbs.,"73""",Orthodox,"Apr 13, 1994",3.25,38%,4.32,50%,0.0,0%,50%,0.0,2025.0,0.0,2.0,0.0,1.0,1.0
Allan Nascimento,Cody Durden,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991",3.06,55%,2.53,52%,1.26,23%,37%,1.1,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.66,44%,4.47,50%,3.99,47%,75%,0.7,2025.0,3.0,3.0,0.0,4.0,1.0
Kevin Christian,Billy Elekana,"6' 7""",205 lbs.,"80""",Orthodox,"Jan 21, 1995",1.64,56%,2.65,44%,0.0,0%,50%,2.3,"6' 3""",205 lbs.,"77""",Southpaw,"May 28, 1995",2.66,60%,3.28,46%,0.55,25%,0%,0.6,2025.0,1.0,1.0,1.0,1.0,0.0
Timmy Cuamba,ChangHo Lee,"5' 9""",135 lbs.,"71""",Orthodox,"Feb 08, 1999",2.77,44%,3.58,57%,1.31,31%,72%,0.0,"5' 8""",135 lbs.,"69""",Orthodox,"May 09, 1994",3.88,66%,2.13,37%,3.2,34%,40%,0.3,2025.0,1.0,1.0,4.0,4.0,1.0
Sedriques Dumas,Donte Johnson,"6' 2""",185 lbs.,"79""",Orthodox,"Aug 06, 1995",2.0,44%,2.41,55%,1.34,31%,33%,0.2,"5' 8""",185 lbs.,"74""",Southpaw,"Jan 25, 1999",3.34,64%,1.87,58%,6.01,100%,80%,2.0,2025.0,0.0,2.0,1.0,1.0,0.0
Norma Dumont,Ketlen Vieira,"5' 7""",135 lbs.,"67""",Orthodox,"Oct 01, 1990",3.89,50%,2.12,65%,1.56,56%,68%,0.0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 26, 1991",2.76,40%,3.75,50%,1.33,44%,90%,0.6,2025.0,5.0,5.0,1.0,4.0,1.0
Montserrat Conejo Ruiz,Alice Ardelean,"5' 0""",115 lbs.,"61""",Southpaw,"Feb 03, 1993",2.21,29%,6.19,44%,1.75,50%,44%,0.6,"5' 3""",115 lbs.,"62""",Orthodox,"Apr 19, 1992",7.35,45%,5.2,62%,1.0,44%,85%,0.0,2025.0,0.0,1.0,1.0,1.0,0.0
