,winner,winner_url,looser,looser_url
39,Tom Aspinall,http://www.ufcstats.com/fighter-details/399afbabc02376b5,Ciryl Gane,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a
40,Mackenzie Dern,http://www.ufcstats.com/fighter-details/7447e9f28508106a,Virna Jandiroba,http://www.ufcstats.com/fighter-details/7dda2cf308f24a02
41,Umar Nurmagomedov,http://www.ufcstats.com/fighter-details/2b6fc1c02736833d,Mario Bautista,http://www.ufcstats.com/fighter-details/bc711b6dd95c1af6
42,Alexander Volkov,http://www.ufcstats.com/fighter-details/279566840aa55bf2,Jailton Almeida,http://www.ufcstats.com/fighter-details/41e83a89929d1327
43,Azamat Murzakanov,http://www.ufcstats.com/fighter-details/e90a2f22417af68e,Aleksandar Rakic,http://www.ufcstats.com/fighter-details/333b9e5c723ac873
44,Quillan Salkilld,http://www.ufcstats.com/fighter-details/17734443a833cdf7,Nasrat Haqparast,http://www.ufcstats.com/fighter-details/b7b84ccd221be298
45,Ikram Aliskerov,http://www.ufcstats.com/fighter-details/b07aed698fba8624,JunYong Park,http://www.ufcstats.com/fighter-details/285ae0b4a68221f4
46,Ludovit Klein,http://www.ufcstats.com/fighter-details/5b86d491d63890c5,Mateusz Rebecki,http://www.ufcstats.com/fighter-details/849c5d9979df5357
47,Valter Walker,http://www.ufcstats.com/fighter-details/f5779a2303ed76ec,Louie Sutherland,http://www.ufcstats.com/fighter-details/cdb7b38b1b357f26
48,Nathaniel Wood,http://www.ufcstats.com/fighter-details/329e403448756217,Jose Delgado,http://www.ufcstats.com/fighter-details/7d6ceff6747f2de2
49,Hamdy Abdelwahab,http://www.ufcstats.com/fighter-details/3329d692aea4dc28,Chris Barnett,http://www.ufcstats.com/fighter-details/7a5e8c94a86f9895
50,Mitch Raposo,http://www.ufcstats.com/fighter-details/0be6776db31d98ec,Azat Maksum,http://www.ufcstats.com/fighter-details/7f1bf0c255ec8756
51,Mizuki,http://www.ufcstats.com/fighter-details/43a59ce3bb40449e,Jaqueline Amorim,http://www.ufcstats.com/fighter-details/bc7d1ad49fcb2d08
52,Brendan Allen,http://www.ufcstats.com/fighter-details/2f181c0467965b98,Reinier de Ridder,http://www.ufcstats.com/fighter-details/d549cefc7c54ab78
53,Mike Malott,http://www.ufcstats.com/fighter-details/dd6103dd7127db1d,Kevin Holland,http://www.ufcstats.com/fighter-details/3a46b268013afede
54,Aiemann Zahabi,http://www.ufcstats.com/fighter-details/24656ef4d605c96f,Marlon Vera,http://www.ufcstats.com/fighter-details/7c7332319c14094c
55,Manon Fiorot,http://www.ufcstats.com/fighter-details/34ff304266360297,Jasmine Jasudavicius,http://www.ufcstats.com/fighter-details/a9e260472d321361
56,Charles Jourdain,http://www.ufcstats.com/fighter-details/f1d64ae34e088832,Davey Grant,http://www.ufcstats.com/fighter-details/113df4fde64735c6
57,Kyle Nelson,http://www.ufcstats.com/fighter-details/31f8081c7600da93,Matt Frevola,http://www.ufcstats.com/fighter-details/dccb63727f2f5f74
58,Drew Dober,http://www.ufcstats.com/fighter-details/519e4fe37ce9ff75,Kyle Prepolec,http://www.ufcstats.com/fighter-details/873626e5547b5235
59,Aoriqileng,http://www.ufcstats.com/fighter-details/7d420039bbfe7c1a,Cody Gibson,http://www.ufcstats.com/fighter-details/700a674c042b7a96
60,Bruno Silva,http://www.ufcstats.com/fighter-details/294aa73dbf37d281,HyunSung Park,http://www.ufcstats.com/fighter-details/b671bdf981ad527d
61,Djorden Santos,http://www.ufcstats.com/fighter-details/312f7d7b2b2f7de4,Danny Barlow,http://www.ufcstats.com/fighter-details/b7c5eb7cdbac6a63
62,Stephanie Luciano,http://www.ufcstats.com/fighter-details/1b35af4d1529adf6,Ravena Oliveira,http://www.ufcstats.com/fighter-details/4948e412fa6ab67d
63,Yousri Belgaroui,http://www.ufcstats.com/fighter-details/7674b836ce0698a0,Azamat Bekoev,http://www.ufcstats.com/fighter-details/3bc3f60b21cddc6a
64,Melissa Croden,http://www.ufcstats.com/fighter-details/51e2f44a8dbf6984,Tainara Lisboa,http://www.ufcstats.com/fighter-details/2c5f5749569eef66
65,Charles Oliveira,http://www.ufcstats.com/fighter-details/07225ba28ae309b6,Mateusz Gamrot,http://www.ufcstats.com/fighter-details/72db2a14ffa73ece
66,Deiveson Figueiredo,http://www.ufcstats.com/fighter-details/aa72b0f831d0bfe5,Montel Jackson,http://www.ufcstats.com/fighter-details/cc1a8b4b38b92c6d
67,Joel Alvarez,http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc,Vicente Luque,http://www.ufcstats.com/fighter-details/6d4b63c767106d3a
68,Mario Pinto,http://www.ufcstats.com/fighter-details/39d309957c5c210d,Jhonata Diniz,http://www.ufcstats.com/fighter-details/25f9a5f3e8a52618
